Fund - Project,Description,Budget,Budget,Total,Mar-14,Mar-14,O/S,Balance
,,Original,Adjustments,Budget,Cur.Month,YTD.Actuals,Encumb.,Available
,,,,,,,,
User: WOODHAMA,,,,,,,,
Internal Research (OR),,,,,,,,
,,,,,,,,
Fund 13 ,Internal Research (OR)  ,,,,,,,
13 - 844583 ,  AAAAA A - NEW FAC START UP,0,4220.32,4220.32,0,1058.77,0,3161.55
13 - 877840 ,  BBBBB VPR GRT 4/13 C.S.,0,9977.4,9977.4,0,3516.19,0,6461.21
13 – 876635,  CCCCC VPR GRT ENSC,0,891.16,891.16,0,891.16,0,0
13 - 345612 ,  DDDDD D VPR GRNT 5/13 ENSC,0,7653.14,7653.14,0,7653.14,0,0
13 - 874356 ,  BAKER SECRET EMBEZZLEMENT,0,49047.27,49047.27,0,1348.23,0,47699.04
13 – 875902 ,  SOME CHARITY THING,0,3316.3,3316.3,0,0,0,3316.3
13 – 874568,  BBBBB B - DIRECTOR'S GRANT,0,2551.53,2551.53,0,3822.23,0,-1270.7
13 - 888681 ,  EEEEE E DN APLSC GRNT ENSC,0,147619.48,147619.48,1032.32,38902.05,5124.04,103593.39
13 - 876623 ,  FFFFF FNDS FOR RES 3/10 C.S,0,1609.7,1609.7,0,-2250,0,3859.7
13 - 891775 ,  BBBBB B-DIRECTORS GRT CMPT SCI,0,33503.27,33503.27,0,20105.63,3503.82,9893.82
,Total - All Pages,0,260389.57,260389.57,1032.32,75047.4,8627.86,176714.31
